V (m3),T (K),P (atm),F_EDC (kmol/h),F_NH3 (kmol/h),F_EDA (kmol/h),F_HCl (kmol/h),F_VC (kmol/h),F_NH4Cl (kmol/h),X
403.0,10.0,76.87214611872145,768.7214611872145,0.0,0.0,0.0,0.0,298.0,0.0
402.3033999999999,9.99189563579265,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,308.2263923881734,1.0
401.5293999999998,9.983778521045787,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,317.37838795694,1.0
400.75539999999967,9.975668000398201,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,325.56070598955074,1.0
399.98139999999955,9.967564068493049,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,332.8680749711849,1.0
399.20739999999944,9.959466719977833,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,339.3859692942232,1.0
398.4333999999993,9.951375949504408,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,345.19151329712605,1.0
397.6593999999992,9.943291751728964,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,350.354296987115,1.0
396.8853999999991,9.935214121312049,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,354.93711207432585,1.0
396.111399999999,9.927143052918534,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,358.9966161022659,1.0
395.33739999999887,9.91907854121763,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,362.5839316988953,1.0
394.56339999999875,9.911020580882875,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,365.74518728644654,1.0
393.78939999999864,9.902969166592138,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,368.5220049689188,1.0
393.0153999999985,9.894924293027614,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,370.95194075749686,1.0
392.2413999999984,9.88688595487581,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,373.06888179003806,1.0
391.4673999999983,9.878854146827557,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,374.9034047459051,1.0
390.6933999999982,9.870828863577989,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,376.4830992470014,1.0
389.91939999999806,9.86281009982656,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,377.83285966552876,1.0
389.14539999999795,9.854797850277032,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,378.9751484248402,1.0
388.37139999999783,9.846792109637459,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,379.9302335782443,1.0
387.5973999999977,9.838792872620196,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,380.7164031785696,1.0
386.8233999999976,9.830800133941901,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,381.3501587058128,1.0
386.0493999999975,9.822813888323518,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,381.8463895987047,1.0
385.2753999999974,9.814834130490281,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.2185307361626,1.0
384.50139999999726,9.806860855171704,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.4787045342683,1.0
383.72739999999715,9.798894057101595,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.63784916169203,1.0
382.95339999999703,9.790933731018029,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7058342296612,1.0
382.721199999997,9.782979871663361,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70969917664104,1.0
382.721199999997,9.775032473784215,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7095559681727,1.0
